10000,select top 50000 * from posts where posts.ViewCount > 10000 ORDER BY posts.ViewCount desc
uj,"WITH USER_BY_TAG
AS
(
  SELECT 
    ROW_NUMBER() OVER(ORDER BY Reputation DESC) AS [#],
    u.Id AS [User Link], 
    u.Reputation,
    TagName,
    (SELECT CONCAT(Tagname, ' ')) Tagz
  FROM Tags t
      INNER JOIN PostTags pt ON pt.TagId = t.id
      INNER JOIN Posts     p ON p.ParentId = pt.PostId
      INNER JOIN Votes     v ON v.PostId = p.Id and VoteTypeId = 2
      INNER JOIN Users     u ON u.Id = p.OwnerUserId
  WHERE 
      LOWER(Location) LIKE '%moscow%'
      AND  TagName IN ('c++','stl','boost','opengl')
       
  GROUP BY u.id, TagName, u.Reputation
)

SELECT * FROM USER_BY_TAG ORDER BY Reputation DESC ;"
software_eng_tags,"-- Enter Query Title
-- Enter Query Description
select Id,TagName from Tags"
testquery,select * from Users where AboutMe IS NOT null and AboutMe != ''
Weka,"Select *
From Posts
Where Title like '%Weka%'
Or Body like '%Weka%'
And Score >1"
MyComments,select * from comments where userid=5752362 order by creationDate desc
java,"SELECT 
    Count(*) AS QuestionCount
FROM 
    Posts p
JOIN PostTags t on p.Id = t.TagId
WHERE 
    --t.TagId = 1589
    p.PostTypeId != 2"
TFIDF,select top 50000 * from posts where posts.ViewCount > 1000000 ORDER BY posts.ViewCount
Kebab,"SELECT TOP(20) DisplayName
FROM Users;"
dataTime,"SELECT TOP 50 Id, Tags, Body, ViewCount, Score, CreationDate FROM Posts where Tags is not NULL and Year(CreationDate) = 2008 and Month(CreationDate) >= 7 and Month(CreationDate) <= 12"
awk,SELECT * FROM POSTS WHERE TAGS = 'awk' and answercount > 10;
HowDoIGetStartedProgramming,"select Id as [Post Link], Body, Score from Posts where Title like '%get started%' and ParentId is null"
Reach,"SELECT SUM(Parent.ViewCount)
FROM POSTS as Parent, POSTS as P
WHERE P.PostTypeId=1
      AND P.OwnerUserId = '22656'
      AND P.ParentId = Parent.Id"
num_comments_per_user,"create table #comments_per_user (UserId int, NumComments int)
insert #comments_per_user
select top 20
Users.Id, count(*)
from Users
  inner join Comments on Comments.UserId = Users.Id
where Users.LastAccessDate >= '2013-01-01' 
group by Users.Id

create table #posts_per_user (UserId int, NumPosts int)
insert #posts_per_user
select top 20
Users.Id, count(*)
from Users
  inner join Posts on Posts.OwnerUserId = Users.Id
where Users.LastAccessDate >= '2013-01-01' 
group by Users.Id"
Community,SELECT CreationDate FROM Users WHERE Id = -1
Sportsmanship,"-- 1 Question
-- 2 Answer

select top 100 
  * 
from posts p
where 1=1
  and p.posttypeid=2
  and p.owneruserid=1980228
  and p.score>0"
Kconfig,select * from Posts where Posts.Tags like '%config%';
work,"select *
from 
Posts where Posts.Tags like '<sql>'
and Posts.AcceptedAnswerId is NULL
and Posts.PostTypeId = 1
and Posts.CreationDate between '2013-01-01' and  '2013-12-31'"
Length,"SELECT *
FROM Users
ORDER BY LEN(DisplayName) DESC"
o,"SELECT Users.DisplayName, Posts.Title FROM Users, Posts WHERE Posts.OwnerUserId = Users.Id AND Posts.ViewCount = (SELECT MAX(ViewCount) FROM Posts)"
pp_unanswered,"select id,body as content,title, CreationDate,ClosedDate,Score,LastActivityDate,ViewCount as no_of_views,tags 
 from posts where tags like '%paypal%' and AnswerCount = 0 order by id desc"
hah,"select *
from comments;"
Robotics,"Select Id, Score, Body from Posts where ViewCount > 10"
tet,"Select Id, DisplayName, location, AccountID, WebsiteUrl
from Users
where location in (
Select distinct(location)
from Users
where location like '%switzer%')"
1000,"select OwnerUserId,sum(score) from posts where score > 1000 group by OwnerUserId;"
TagInfo,"SELECT *
FROM Tags 
where tagname like '%sql%'
order by tagname desc"
votes,"select id, postid, votetypeid, userid, creationdate, bountyamount
from votes 
where postid in (21984272,21948145)
order by userid, creationdate, votetypeid;"
learning!,"select Id as [Post Link], Body, Score from Posts
where Tags Like '%stakeholder%'"
SQLprac,"SELECT Score,CreationDate,Tags FROM Posts 
WHERE Score > 10
   OR Tags LIKE 'linux'"
ReputationOver10k,"-- Reputation greater than 100000
-- Get ID, Rep, and DisplayName  of users with rep greater than 100000m order by rep

SELECT Id, Reputation, DisplayName FROM Users WHERE Reputation > 10000 
ORDER BY Reputation;"
Downvoted,"SELECT TOP 25 Posts.Id AS [Post Link], Posts.OwnerUserId as [User Link], Score
FROM Posts
WHERE Score <0 AND PostTypeId = 2
ORDER BY Score ASC"
angularjs,"select TagName, Count from Tags where TagName = 'angularjs' OR TagName = 'reactjs'"
Voters,"select top 100 Id, DisplayName, UpVotes+DownVotes as Votes, UpVotes, DownVotes from Users order by Votes desc;"
Deleted,"SELECT TOP 10
* FROM PostsWithDeleted WHERE DeletionDate IS NOT NULL
AND OwnerUserId=130164"
[No_Name]Bob1,select top 20 * from posts;
TestQuery,"SELECT DisplayName, Reputation FROM Users WHERE Reputation = 
( 
SELECT Max(Reputation) from Users
);"
predix,"SELECT * FROM Posts where 
lower(tags) like '%predix%' or
lower(title) like '%predix%'"
myquery,"select Id, Reputation, DisplayName, Location
from Users
where Location like '%Pakistan%' OR Location like '%pakistan%' 
order by Reputation desc"
duplicate?,SELECT * FROM Posts WHERE Id = 4971636;
Semarchy,select count(*) from posts where title like '%semarchy%'
testbigdata,"Select Posts.Id, Posts.Title, Posts.Tags from Posts where Posts.Tags like '%bigdata%';"
ren,"SELECT Id, TagName, Count FROM Tags"
Query1,"select Id, Reputation, Location from Users where Views > 500"
ForFindingBestAnswers,select  top(10) * from users order by reputation desc
PostHistory,"SELECT *
FROM PostHistory ph
WHERE (ph.PostHistoryTypeId = 4 OR ph.PostHistoryTypeId = 5)
AND ph.PostId = 1"
icodetlrn,"select  distinct u.Id , u.Location, Reputation, DisplayName, WebsiteUrl, AboutMe, Views from Users u inner join Comments c on c.UserId = u.Id where u.Location like '%ndia%' and u.WebsiteUrl like '%linkedin%'"
TagSysnonyms,"-- Enter Query Title
-- Enter Query Description

select * from PostTags"
prvy,"SELECT CommentCount, ClosedDate FROM Posts
  WHERE ClosedDate > 2013-01-01"
Consulta,"select Id, DisplayName from Users"
Swift,"select top 250 Id, PostTypeId, Title, Tags, Score, AnswerCount, FavoriteCount from Posts as [Post Link]
where Title is not null
and Tags = '<swift>'"
myq,"SELECT Score, Text, PostId AS [Post Link]
FROM Comments
WHERE UserId = 241153
ORDER BY Score DESC, Text ASC;"
byviewcount,"select count(*) ,posts.ViewCount from posts group by 
posts.ViewCount having count(*)>1"
tags_views,"Select top 20
ViewCount, Tags, Tags.Id, Tags.TagName
from Posts
    INNER JOIN PostTags ON PostTags.PostId = Posts.ParentId
    INNER JOIN Tags ON Tags.Id = PostTags.PostId
Where ViewCount > 0"
1repAnswers,"Select
  TOP 30 *
FROM
  posts
WHERE
  OwnerUserId IN (
    SELECT TOP 100 ID from users WHERE Reputation = 1
  )
AND
  PostTypeId = 2
ORDER BY
  CreationDate DESC"
2CS.AutoHint.Ticket,"select top 1000 p.CreationDate, p.Body, p.Title, p.ClosedDate
from Posts p
where p.Title is not null
order by p.CreationDate desc"
related,"select pl.RelatedPostId FROM
    Posts p
  INNER JOIN
    PostLinks pl ON p.Id = pl.postId
WHERE postId = 53734"
scores,select DisplayName from users where DisplayName like 'A'
none,select Body from Posts where id='2097152';
EasyQry,"select u.Id as UserID, count(*) as Posts
from Users u left join Posts p on u.Id = p.OwnerUserId
group by u.Id"
EDITS,"select top 10  postid, creationdate, owneruserid, comment from suggestededits;"
pk,select * from tags where tagname = 'coldfusion'
B1,"select Title, Tags from Posts;"
